Qty,Digikey_PN
96,490-4779-1-ND
4,1276-6797-1-ND
8,445-5631-1-ND
7,445-5851-1-ND
47,490-4781-1-ND
7,445-12539-1-ND
3,445-172481-1-ND
1,493-14364-ND
2,445-4532-1-ND
2,445-5659-1-ND
1,1189-16SLV47M6.3X6.1CT-ND
9,S215FACT-ND
7,497-7545-1-ND
2,SMAJ60A-FDICT-ND
3,160-1447-1-ND
28,MM3Z12VCCT-ND
4,SMBJ120A-FDICT-ND
4,1727-5397-1-ND
4,36-7807-ND 
7,732-1591-1-ND
1,587-2104-1-ND
1,495-4597-1-ND
5,TN5335K1-GCT-ND
3,TP5335K1-GCT-ND
24,1801-TSM2301ACXRFGCT-ND
4,US6M2CT-ND
1,FQB12P20TMCT-ND
8,488-NTB5D0N15MCCT-ND
2,TPH3300CNHL1QCT-ND
2,RQ3G100GNTBCT-ND
92,311-10KLDCT-ND
18,311-1MLDCT-ND
3,2019-RN73R1JTTD3202B25CT-ND
1,RMCF0603FT13K0CT-ND
43,YAG3561CT-ND
14,RHM303DCT-ND
4,RMCF0603FT20R0CT-ND
5,RMCF0603FT19K6CT-ND
16,RMCF0603FT100KCT-ND
7,RMCF0603FT499KCT-ND
2,A140602CT-ND
24,2019-WK73R2ATTD15R0FCT-ND
1,RMCF0603JG1K80CT-ND
24,RMCF0603JT3K30CT-ND
1,100W-10-ND
2,RMCF2512JT62R0CT-ND
6,RMCF0603FT10M0CT-ND
2,495-76084-1-ND
1,DSPIC33EP256MC506-I/PT-ND
1,296-11120-5-ND
1,296-TLV73330PQDBVRQ1CT-ND
1,LTC3638EMSE#TRPBFCT-ND
3,296-49580-1-ND
2,505-LTC6802IG-1#3ZZPBF-ND
1,768-1129-1-ND
1,296-SN65HVDA1040BQDRQ1CT-ND
1,31-AP22652AW6-7CT-ND
2,296-47595-1-ND
3,264-TLX9185A(GBTPLFCT-ND
2,ADUM1281ARZ-RL7CT-ND
2,505-LTC7001EMSE#TRPBFCT-ND
1,620-ACS72981LLRATR-100B5CT-ND
1,620-CT415-HSN820DRCT-ND
1,LMV393MX/NOPBCT-ND
1,296-46635-1-ND
1,296-INA181A3QDBVRQ1CT-ND
1,FAN3216TMX-F085CT-ND
1,XC3144CT-ND
