RefDes,Name,Value,Quantity
BLE1,RN4020-V/RM,,1
C39,HMK212B7104KG-T,100nF,1
C41,GRM31CR61A476KE1,47uF,1
C42,GRM155R71C822KA0,8.2nF,1
CAN1,MCP2562,,1
"D1, D2, D3, D4, D6, D7, D8",CD0603-B0130L,,7
D5,MLL4728,6.2,1
"D9, D10, D11, D12",LTST-C191KRKT ,,4
"D13, D14, D15, D16", LTST-C191KSKT ,,4
"D17, D18, D19, D20",LTST-C191KGKT ,,4
"D21, D22, D23, D24",LTST-C191KFKT ,,4
D25,B560C-13-F,700mV,1
"GND1, PWR1",7797,,2
"HSD_1, HSD_2, HSD_3",395210003,,3
L1,SDR1307-6R8ML,6.8uH,1
"Q1, Q2, Q3, Q5, Q6, Q8, Q9, Q10",NDB6020PCT-ND,,8
"Q4, Q7, Q11, Q12, Q13",FMMTA42TA,,5
"R1, R2, R51",RES_0603,,3
"R31, R32, R33",ERJ-M1WTF1M0U,0R1,3
"S1, S2, S3",BPA01SB,,3
U1,PIC33EP256MC506,,1
"U2, U3",MCP6002T-I/SN,,2
U4,MCP1700_TT,,1
"U5, U6, U7",INA285,,3
U8,24LC16BT-I/OT,16kBit,1
U9,BMA222e,,1
U10,TLC59282DBQR,,1
U11,LMR14030SDDAR,,1
Y1,CRYSTAL,8MHz,1
,,,178
